"question","ground_truth"
"Como ocorre o tutoramento do tomateiro com fitilho vertical?","Para o tutoramento com fitilhos (com tutores de essências florestais ou fitilhos plásticos.), a estrutura consiste de dois fios de arame estendidos ao longo da linha de cultivo. Eles podem ser suportados por postes independentes da estrutura do abrigo de cultivo. O fitilho é amarrado no fio de arame que fica rente ao solo e no outro que geralmente fica a uma altura de 2 m do solo, variando essa altura conforme o número de cachos desejados (geralmente de 6 a 7 cachos) ou na altura que facilite o manejo pelo trabalhador. A planta é enrolada no fitilho vertical conforme vai crescendo, realizando-se a capação ao passar da altura do arame. Um dos pontos negativos do uso do fitilho é a baixa estabilidade de sustentação da planta. Assim, quando a lavoura está em plena produção, com os pés carregados de frutos, pode ocorrer o rompimento do fitilho, com queda da planta e dos frutos. Esse problema pode ser agravado pelas correntes de vento em abrigos desprovidos de tela nas laterais."
"Qual é o espaçamento mais utilizado para o tomateiro?","O espaçamento varia em função do vigor das plantas, do sistema de tutoramento e do
sistema de produção.
Para cultivo protegido, os mais comuns são: 1,4 m x 0,50 m; 1,30m x 0,50m; 1,00 m x 0,5 a 0,6m, entre linhas e entre plantas, respectivamente.
Para cultivo a campo, vai depender do tipo de pulverização a ser usada:
- Pulverizador barra vertical ou turbinado:
Entre fileiras: 0,80 m a 2,20m;
Entre plantas: 0,40m a 0,70m;
- Canetas de pulverização:
Entre fileiras: 1,25m a 1,50m"
"Quais são os critérios para a interpretação de uma análise de solo para o tomateiro?","pH em água = 5,8 a 6,5. Observação: Essa é a faixa ideal, mas pode estender de 5,5 a 6,8
pH em CaCl2 = 5,3 a 6,0. Observação: Essa é a faixa ideal, mas pode estender de 5,0 a 6,3
Matéria Orgânica = 4 a 7 % (dag/kg) (MO = 1,72 X Teor de Carbono). Observação: Valores menores que 4 % ocorrem em solos arenosos ou erodidos.
Alumínio Trocável = 0,0 cmolc/dm3. Observação: O objetivo principal da calagem é reduzir este teor a zero.
Acidez potencial H + Al = < 5,0 cmolc/dm3. Observação: Usados para cálculo da CTC e necessidade de calagem.
Soma de bases = 5,0 - 8,0 cmolc/dm3. Observação: SB = Ca + Mg + K + Na
CTC efetiva = 6,0 - 10,0 cmolc/dm3. Observação: CTC = SB + Al. Corresponde aos cátios trocáveis do solo. H+ não é trocável, é absorvido a CTC e só retirado por neutralização (reação com OH-) Valores menores em solos arenosos e maiores em argilosos.
CTC a pH 7 = > 10,0 cmolc/dm3. Observação: CTC = SB + Al + H Valores menores em solos arenosos e maiores em argilosos.
Condutividade elétrica (CE) = 0 - 2,0 dS/m (no extrato de saturação do solo). Observação: Indicadora de salinidade do solo. Valores maiores que 2,1 indicam redução no potencial de produtividade da cultura.
Fósforo Disponível (Mehlich) = 10-15 mg dm3 já não se tem resposta à aplicação de fósforo. Contudo, o fósforo deverá ser aplicado para atender a exportação do nutriente.
Fósforo Disponível (Resina) = Em solos arenosos > 40 mg/dm3 e argilosos > 70 mg/dm3. Observação: Ideal entre 50 e 100 mg/dm3.
Potássio Trocável = Resina (Em geral valores ideais acima de 0,25 cmolc/dm3 ou mg/dm3). Observação: Existem teores específicos para cada tipo de solo. Para alterar a unidade de cmol/dm3 para mg/dm3, basta multiplicar por 390. Para solos arenosos e de CTC baixa, teores adequados são mais baixos.
Cálcio Trocável = Acima de 4,0 cmolc/dm3. Observação: Teores de Ca após a calagem cmol Ca final/dm3 = cmol Ca inicial+ % CaO (Calcário) x 1,79 x D (dose em ton/ha) / % PRNT (Calcário)
Magnésio Trocável = Acima de 1,0 cmolc/dm3. Observação: Teores de Mg após a calagem Cmol Mgfinal/dm3 = cmol Mginicial+ % CaO (Calcário) x 2,48 x D (dose em ton/ha) / % PRNT (Calcário)
Saturação por Bases ou V% = Para a maioria entre 50 e 70%. Observação: Solos muito arenosos - valores mais baixos.
Saturação por Ca = 50 - 70%. Observação: % Ca (CTC) = cmol Ca/dm3/cmol (CTC total)/ dm3 x 100, onde CTC total = Ca + Mg + K + (H+Al) + Na.
Saturação por Mg = 10 - 15%. Observação: Equação acima similar para Mg.
Saturação por K = 3 - 5%. Observação: Equação acima similar para K."
"Quais são os principais problemas fitossanitários causados por bactérias no
tomateiro?","Cancro Bacteriano (Clavibacter michiganensis), Mancha-bacteriana (Xanthomonas spp), Mancha-Syringae (Pseudomonas syringae pv. syringae), Murcha-bacteriana ou Murchadeira (Ralstonia solanacearum), Necrose da Medula (Pseudomonas corrugata), Pinta Bacteriana (Pseudomonas syringae pv. tomato), Talo Oco (Pectobacterium carotovora - Antiga Erwinia carotovora)."
"Como deve ser realizado o monitoramento do ácaro rajado no tomateiro?","O monitoramento é realizado por meio da contagem do número de ácaros de uma amostra de 20 folhas coletadas ao acaso de uma parcela (área de mesma cultivar e data de plantio). Quando forem encontrados mais de cinco ácaros por folhas em 20% das folhas amostradas, deve-se realizar o controle."
"Quais são os sintomas da requeima no tomateiro?","A requeima afeta todos os órgãos aéreos do tomateiro e é geralmente mais notada na
metade superior da planta.
Nas folhas:
Iniciam-se com lesão aquosa que cresce rapidamente, fica necrosada e com as bordas de um verde mais claro que o dos tecidos sadios. Sob condições de alta umidade, na face inferior das folhas, surge um mofo esbranquiçado. Quando o ataque é severo, pode haver coalescência das lesões, com a destruição rápida da folhagem, dando a ela um aspecto de que foi queimada por geada, daí o nome de “requeima”.
No Pecíolo/Caule:
Semelhante às da folha e tendem a causar um anelamento de todo o órgão, podendo atingir 3 a 10 cm de comprimento.
Nos frutos:
Lesões do tipo podridão dura, de cor pardo escura, profundas e de superfície irregular e podem expandir até atingir o fruto inteiro. Em ambiente úmido, micélio branco-cinza pode cobrir as áreas lesionadas (2). Os sintomas severos assemelham-se a uma queimadura por geada."
"Quais são as características do cultivar de tomateiro Aliança F1?","Característica dos frutos: Fruto vermelho;
Crescimento: Indeterminado;
Empresa: Hortec;
Finalidade: Copa;
Grupo: Salada;
Polinização: Híbrido;
Resistência a bactérias e nematoides: Mi - Meloidogyne incognita;
Resistência a bactérias e nematoides: Mj - Melodogyne javanica;
Resistência a fungos: F1 - Fusarium oxysporum f.sp. lycopersici - raça 1;
Resistência a fungos: F2 - Fusarium oxysporum f.sp. lycopersici - raça 2;
Resistência a fungos: Vd - Verticillium dahliae;
Resistência a viroses: ToMV - Tomato mosaic virus;
Resistência a viroses: TSWV - Vira Cabeça - Tomato spotted wilt virus;
Tamanho do fruto: Médio (201 a 230 g);
Vigor: Alto
INFORMAÇÕES DA EMPRESA:
Planta: Crescimento indeterminado, vigoroso, com boa cobertura foliar, muito produtivo
Frutos: Tipo Salada, arredondado com peso em torno de 200 a 230gr, firmes, uniforme, longa vida com sabor
Características: O híbrido Aliança apresenta ótima produtividade, variando de 400 a 450 caixas por 1000 plantas
Ciclo: 110 – 120 dias - início da colheita
Vantagens da Cultivar: Planta com boa cobertura foliar, frutos uniforme, longa vida com sabor e resistências a grande número de doenças. Boa resistência a manchas bacterianas
RESISTÊNCIA:
Fusarium oxysporum f sp. Lycopersici – (Fol 1 e 2), Verticilliuim dahlie (Vd), Vírus do mosaico do tomateiro – estirpe l (ToMV), Nematóides – Mi: Meloidogyne incognita, Mj: Meloidogyne javanica, e Vírus do Vira-cabeça do Tomateiro (TSWV )."
"Qual o objetivo do raleio de frutos no tomateiro?","O objetivo desta técnica é obter frutos de maior diâmetro, com maior valor comercial. Ao deixar menos frutos nos cachos, há redução na competição pelos frutos dentro dos cachos, por fotoassimilados, resultando assim em maior tamanho do fruto. Sendo pesquisa, plantas de tomate que produzem menos frutos produzem frutos maiores e mais pesados do que as que produzem mais frutos."
"Quais as vantagens da irrigação por gotejamento no tomateiro?","- Economia de água devido a menor perda por evaporação, percolação e escoamento superficial;
- Não há interferência do vento;
- Menor disseminação de patógenos;
- Menor variação nos níveis de umidade no solo;
- Adapta-se a diferentes solos e topografias;
- Permite a distribuição de biofertilizantes na água de irrigação;
- Minimiza a possibilidade de erosão;
- Funciona com baixas pressões de serviço (4 a 8 mca) que podem ser fornecidas por motobombas ou por gravidade;
- Reduz drasticamente o período de molhamento foliar com diminuição de doenças foliares e;
- De maneira geral apresenta alta eficiência (até 95%)."
"Como identificar a deficiência de cálcio (Ca) no tomateiro?","A deficiência de Ca no tomateiro é identificada principalmente pela Podridão Apical ou estilar dos frutos, ou seja, os frutos apresentam uma mancha preta, deprimida, coriácea, seca e firme no ápice. Esses sintomas aparecem quando a deficiência nutricional está no fruto podendo a parte aérea apresentar altos teores de Ca, portanto, nesses casos não é possível fazer a avalição do estado nutricional para predizer a ocorrência de prodridão apical (4).
Quando os sintomas são agudos, podem ocorrer necrose das pontas e margens dos folíolos. As faces inferiores das folhas apresentam coloração arroxeada e os folíolos, pequenos e deformados. As raízes ficam pouco desenvolvidas e com coloração amarronzada."
